block,x,y,width,height,rotated
b195,352,324,33,13,0
b196,46,390,41,41,0
b197,86,155,37,28,0
b198,101,221,48,19,0
b199,357,293,36,31,1
b200,213,184,43,37,0
b201,302,495,29,26,1
b202,327,461,39,34,1
b203,40,352,28,15,1
b204,238,459,41,33,0
b205,330,352,21,15,0
b206,135,1,42,35,0
b207,288,155,33,28,0
b208,225,221,27,20,0
b209,294,183,45,36,0
b210,486,323,24,13,1
b211,415,451,16,12,0
b212,83,69,42,21,1
b213,427,352,32,14,0
b214,508,137,27,17,1
b215,125,69,29,21,0
b216,31,432,42,19,0
b217,149,221,48,20,1
b218,279,337,43,15,0
b219,151,427,28,18,0
b220,393,293,37,30,1
b221,67,451,45,13,1
b222,316,268,34,25,0
b223,240,71,22,19,0
b224,246,367,45,21,0
b225,309,391,47,38,0
b226,493,336,39,16,0
b227,385,324,32,13,1
b228,322,49,21,20,0
b229,222,241,48,24,1
b230,430,293,33,30,1
b231,391,337,30,16,1
b232,76,242,42,23,0
b233,284,322,16,13,0
b234,357,431,33,18,0
b235,194,69,46,22,1
b236,96,510,39,27,1
b237,154,69,40,21,1
b238,491,497,39,27,1
b239,206,365,40,22,0
b240,303,429,23,19,0
b241,43,451,24,13,1
b242,497,367,40,22,1
b243,366,461,37,34,0
b244,300,324,37,13,0
b245,450,245,36,24,0
b246,0,367,44,23,1
b247,417,189,39,36,1
b248,0,291,43,31,0
b249,61,510,35,27,0
b250,38,38,34,31,1
b251,403,463,43,34,0
b252,405,225,28,19,1
b253,337,324,15,13,0
b254,92,321,24,13,0
b255,220,388,47,39,0
b256,112,450,21,13,0
b257,163,137,33,17,1
b258,194,459,44,34,0
b259,431,451,26,12,0
b260,396,449,19,12,0
b261,29,498,45,12,1
b262,254,493,48,27,1
b263,94,90,47,46,0
b264,296,244,45,23,0
b265,184,334,45,15,0
b266,354,91,48,45,1
b267,335,2,39,34,1
b268,327,369,25,22,1
b269,454,433,37,18,0
b270,193,319,23,15,0
b271,196,265,42,24,0
b272,41,242,35,24,1
b273,0,221,30,21,1
b274,139,364,33,21,0
b275,111,365,28,22,1
b276,235,351,31,14,0
b277,349,449,47,12,1
b278,16,322,42,13,1
b279,132,387,43,39,1
b280,80,366,31,22,0
b281,327,429,30,18,0
b282,234,290,44,30,0
b283,417,323,15,13,1
b284,423,70,21,30,1
b285,133,321,33,13,1
b286,47,184,41,36,1
b287,381,70,42,21,0
b288,445,160,36,28,1
b289,298,1.5,37,33,1
b290,326,138,27,16,1
b291,43,155,43,28,1
b292,341,244,39,24,1
b293,362,225,43,19,0
b294,196,138,26,17,1
b295,0,451,43,13,0
b296,85,334,27,16,1
b297,377,38,38,31,0
b298,493,36,40,33,1
b299,79,321,13,13,0
