block,x,y,width,height,rotated
b153,132,390.486841951,41,30,0
b154,239.486841951,265.486841951,22,17,0
b155,96.486841951,121.486841951,25,14,0
b156,432.486841951,231.486841951,28,16,0
b157,290.486841951,333.486841951,25,20,1
b158,140.486841951,123.486841951,23,13,0
b159,467.486841951,328.486841951,44,32,0
b160,360.486841951,288.486841951,27,16,0
b161,329.486841951,197.486841951,47,46,1
b162,0.486841951,142.486841951,31,18,0
b163,426.486841951,69.486841951,33,22,0
b164,438.486841951,0.486841951,41,36,1
b165,179.486841951,287.486841951,21,17,0
b166,84.486841951,461.486841951,36,34,1
b167,0.486841951,329.486841951,37,36,1
b168,464.486841951,253.486841951,41,24,1
b169,81.486841951,255.486841951,39,24,1
b170,89.486841951,36.486841951,45,29,1
b171,88.486841951,530.486841951,40,22,1
b172,220.486841951,377.486841951,27,13,0
b173,272.486841951,0.486841951,32,25,1
b174,136.486841951,278.486841951,43,16,0
b175,86.486841951,279.486841951,16,15,1
b176,373.486841951,36.486841951,38,33,1
b177,0.486841951,0.486841951,41,37,0
b178,164.486841951,8.486841951,19,17,1
b179,37.486841951,92.486841951,46,34,0
b180,520.486841951,456.486841951,40,19,1
b181,337.486841951,304.486841951,30,28,0
b182,406.486841951,455.486841951,45,24,0
b183,297.486841951,37.486841951,39,33,1
b184,0.486841951,257.486841951,46,25,0
b185,454.486841951,388.486841951,34,27,1
b186,0,393.486841951,33,31,1
b187,520.486841951,92.486841951,38,36,1
b188,333.486841951,448.486841951,40,37,1
b189,300.486841951,369.486841951,44,12,0
b190,336.486841951,38.486841951,37,27,0
b191,102.486841951,279.486841951,34,16,1
b192,494.486841951,160.486841951,48,29,1
b193,70.486841951,140.486841951,33,17,0
b194,503.486841951,128.486841951,28,13,0
b195,360.486841951,369.486841951,33,13,0
b196,92.486841951,420.486841951,41,41,0
b197,213.486841951,160.486841951,37,28,0
b198,39.486841951,236.486841951,48,19,0
b199,411.486841951,38.486841951,36,31,1
b200,304.486841951,0.486841951,43,37,0
b201,376.486841951,171.486841951,29,26,1
b202,463.486841951,495.486841951,39,34,1
b203,76.486841951,359.486841951,28,15,1
b204,286.486841951,484.486841951,41,33,0
b205,303.486841951,353.486841951,21,15,0
b206,80.486841951,324.486841951,42,35,0
b207,197.486841951,304.486841951,33,28,0
b208,148.486841951,160.486841951,27,20,0
b209,393.486841951,0.486841951,45,36,0
b210,475.486841951,375.486841951,24,13,1
b211,436.486841951,127.486841951,16,12,0
b212,47.486841951,64.486841951,42,21,1
b213,452.486841951,128.486841951,32,14,0
b214,0.486841951,282.486841951,27,17,1
b215,177.486841951,232.486841951,29,21,0
b216,316.486841951,244.486841951,42,19,0
b217,87.486841951,231.486841951,48,20,1
b218,103.486841951,136.486841951,43,15,0
b219,269.486841951,151.486841951,28,18,0
b220,387.486841951,382.486841951,37,30,1
b221,90.486841951,377.486841951,45,13,1
b222,294.486841951,173.486841951,34,25,0
b223,238.486841951,64.486841951,22,19,0
b224,242.486841951,390.486841951,45,21,0
b225,306.486841951,70.486841951,47,38,0
b226,519.486841951,278.486841951,39,16,0
b227,393.486841951,369.486841951,32,13,1
b228,408.486841951,479.486841951,21,20,0
b229,261.486841951,264.486841951,48,24,1
b230,373.486841951,455.486841951,33,30,1
b231,285.486841951,288.486841951,30,16,1
b232,122.486841951,2.486841951,42,23,0
b233,344.486841951,367.486841951,16,13,0
b234,452.486841951,142.486841951,33,18,0
b235,0.486841951,538.486841951,46,22,1
b236,173.486841951,390.486841951,39,27,1
b237,198.486841951,64.486841951,40,21,1
b238,520.486841951,6.486841951,39,27,1
b239,122.486841951,65.486841951,40,22,0
b240,444.486841951,334.486841951,23,19,0
b241,24.486841951,380.486841951,24,13,1
b242,504.486841951,70.486841951,40,22,1
b243,296.486841951,450.486841951,37,34,0
b244,338.486841951,142.486841951,37,13,0
b245,483.486841951,299.486841951,36,24,0
b246,252.486841951,455.486841951,44,23,1
b247,481.486841951,92.486841951,39,36,1
b248,243.486841951,493.486841951,43,31,0
b249,79,503.486841951,35,27,0
b250,134.486841951,27.486841951,34,31,1
b251,399.486841951,91.486841951,43,34,0
b252,460.486841951,234.486841951,28,19,1
b253,253.486841951,129.486841951,15,13,0
b254,0.486841951,380.486841951,24,13,0
b255,265.486841951,411.486841951,47,39,0
b256,156.486841951,377.486841951,21,13,0
b257,217.486841951,143.486841951,33,17,1
b258,199,493.486841951,44,34,0
b259,427.486841951,288.486841951,26,12,0
b260,375.486841951,124.486841951,19,12,0
b261,203.486841951,527.486841951,45,12,1
b262,328.486841951,170.486841951,48,27,1
b263,94.486841951,179.486841951,47,46,0
b264,227.486841951,2.486841951,45,23,0
b265,168.486841951,362.486841951,45,15,0
b266,376.486841951,197.486841951,48,45,1
b267,326.486841951,108.486841951,39,34,1
b268,281.486841951,70.486841951,25,22,1
b269,522.486841951,142.486841951,37,18,0
b270,213.486841951,362.486841951,23,15,0
b271,156.486841951,253.486841951,42,24,0
b272,46.486841951,255.486841951,35,24,1
b273,402.486841951,242.486841951,30,21,1
b274,89.486841951,66.486841951,33,21,0
b275,128.486841951,529.486841951,28,22,1
b276,222.486841951,128.486841951,31,14,0
b277,336.486841951,157.486841951,47,12,1
b278,48.486841951,374.486841951,42,13,1
b279,177.486841951,417.486841951,43,39,1
b280,74.486841951,157.486841951,31,22,0
b281,422.486841951,142.486841951,30,18,0
b282,183.486841951,3.486841951,44,30,0
b283,425.486841951,372.486841951,15,13,1
b284,396.486841951,69.486841951,30,21,0
b285,63.486841951,126.486841951,33,13,1
b286,41.486841951,0.486841951,41,36,1
b287,354.486841951,412.486841951,42,21,0
b288,447.486841951,300.486841951,36,28,1
b289,481.486841951,37.486841951,37,33,1
b290,231.486841951,287.486841951,27,16,1
b291,105.486841951,151.486841951,43,28,1
b292,355.486841951,264.486841951,39,24,1
b293,353.486841951,71.486841951,43,19,0
b294,191.486841951,135.486841951,26,17,1
b295,177.486841951,377.486841951,43,13,0
b296,27.486841951,283.486841951,27,16,1
b297,522.486841951,38.486841951,38,31,0
b298,511.486841951,323.486841951,40,33,1
b299,57.486841951,139.486841951,13,13,0
